Verband,Regionalverband,Verein,Amtssprache,Besetzung
St. Galler Blasmusikverband,,Musikgesellschaft Eggersriet,DE,BB
St. Galler Blasmusikverband,,Musikverein Melodia Goldach,DE,H
St. Galler Blasmusikverband,,Bürgermusik Grub,DE,BB
St. Galler Blasmusikverband,,Stadtharmonie Eintracht Rorschach,DE,H
St. Galler Blasmusikverband,,Stadtmusik Rorschach,DE,H
St. Galler Blasmusikverband,,Gallus Musikanten St. Gallen,DE,H
St. Galler Blasmusikverband,,Knabenmusik der Stadt St. Gallen,DE,H
Schweizer Jugendmusikverband / Association suisse des musiques de jeunes,,Knabenmusik der Stadt St. Gallen,DE,H
St. Galler Blasmusikverband,,otmarmusik St. Gallen,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft St. Gallen-Ost,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft St. Georgen-St. Gallen,DE,H
St. Galler Blasmusikverband,,Polizeimusik St. Gallen,DE,H
St. Galler Blasmusikverband,,Stadtmusik St. Gallen,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Steinach,DE,H
St. Galler Blasmusikverband,,Bürgermusik Untereggen,DE,BB
St. Galler Blasmusikverband,,Musikgesellschaft Altenrhein-Staad,DE,H
St. Galler Blasmusikverband,,Stadtmusik Altstätten,DE,H
St. Galler Blasmusikverband,,Musikverein Konkordia Au,DE,H
St. Galler Blasmusikverband,,Musikverein Balgach,DE,H
St. Galler Blasmusikverband,,Musikverein Berneck,DE,H
St. Galler Blasmusikverband,,Musikverein Diepoldsau-Schmitter,DE,H
St. Galler Blasmusikverband,,Musikverein Eichberg,DE,H
St. Galler Blasmusikverband,,Musikverein Heerbrugg,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Kriessern,DE,H
St. Galler Blasmusikverband,,Musikverein Marbach,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Montlingen-Eichenwies,DE,H
St. Galler Blasmusikverband,,Musikverein Harmonie Oberriet,DE,H
St. Galler Blasmusikverband,,Musikverein Rebstein,DE,H
St. Galler Blasmusikverband,,Musikverein Rheineck,DE,H
St. Galler Blasmusikverband,,Musikverein Rorschacherberg,DE,BB
St. Galler Blasmusikverband,,Musikgesellschaft St. Margrethen,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Thal,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Konkordia Widnau,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Rüthi,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Azmoos,DE,H
St. Galler Blasmusikverband,,Musikverein Buchs-Räfis,DE,H
St. Galler Blasmusikverband,,Bürgermusik Gams,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Oberschan,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Alpenrösli Sax,DE,F/B
St. Galler Blasmusikverband,,Musikgesellschaft Sennwald,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Sevelen,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Harmonie Bad Ragaz,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Flums,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Konkordia Mels,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Mols,DE,H
St. Galler Blasmusikverband,,Harmonie Alpenrose Murg,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Pfäfers,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Walensee-Quarten,DE,BB
St. Galler Blasmusikverband,,Musikgesellschaft Sargans,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Vättis,DE,F/B
St. Galler Blasmusikverband,,Musikgesellschaft Vilters,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Konkordia Walenstadt,DE,H
St. Galler Blasmusikverband,,Bürgermusik Wangs,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Amden,DE,H
St. Galler Blasmusikverband,,Bürgermusik Benken,DE,H
St. Galler Blasmusikverband,,Musikverein Ernetschwil,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Helvetia Eschenbach,DE,H
St. Galler Blasmusikverband,,Musikverein Goldingen,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Alpenrösli Gommiswald,DE,H
St. Galler Blasmusikverband,,Feldmusik Jona,DE,H
St. Galler Blasmusikverband,,Musikverein Eintracht Kaltbrunn,DE,H
St. Galler Blasmusikverband,,Stadtmusik Rapperswil-Jona,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Schänis,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Schmerikon,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft St. Gallenkappel,DE,H
St. Galler Blasmusikverband,,Musikverein Harmonie Uznach,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Harmonie Weesen,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Alt St.Johann-Unterwasser,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Bazenheid,DE,H
St. Galler Blasmusikverband,,Musig Bütschwil,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Harmonie Ebnat-Kappel,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Ennetbühl,DE,F/B
St. Galler Blasmusikverband,,Musig Gähwil,DE,BB
St. Galler Blasmusikverband,,Blechharmonie Kirchberg,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Libingen,DE,F/B
St. Galler Blasmusikverband,,Musikgesellschaft Harmonie Lichtensteig,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Mosnang,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Mühlrüti,DE,F/B
St. Galler Blasmusikverband,,Musikgesellschaft Nesslau-Neu St.Johann,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Stein,DE,F/B
St. Galler Blasmusikverband,,Musikgesellschaft Wattwil,DE,H
St. Galler Blasmusikverband,,Bürgermusik Wildhaus,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Wintersberg-Bendel,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Brunnadern,DE,F/B
St. Galler Blasmusikverband,,Musikverein Harmonie Degersheim,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Dicken Dicken,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Ganterschwil,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Hemberg,DE,BB
St. Galler Blasmusikverband,,Musikgesellschaft Lütisburg,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Mogelsberg,DE,BB
St. Galler Blasmusikverband,,Musikgesellschaft Oberhelfenschwil,DE,BB
St. Galler Blasmusikverband,,Regionale Jugendmusik St. Peterzell,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Bichwil-Oberuzwil,DE,H
St. Galler Blasmusikverband,,Harmoniemusik Flawil,DE,H
St. Galler Blasmusikverband,,Bürgermusik Jonschwil,DE,F/B
St. Galler Blasmusikverband,,Musig Lenggenwil,DE,BB
St. Galler Blasmusikverband,,Musikgesellschaft Niederhelfenschwil,DE,BB
St. Galler Blasmusikverband,,Musikgesellschaft Oberbüren,DE,H
St. Galler Blasmusikverband,,Musikverein Uzwil-Henau,DE,H
St. Galler Blasmusikverband,,Jugendmusik Uzwil,DE,H
Schweizer Jugendmusikverband / Association suisse des musiques de jeunes,,Jugendmusik Uzwil,DE,H
St. Galler Blasmusikverband,,Stadtharmonie Wil,DE,H
St. Galler Blasmusikverband,,Brass Band Zuckenriet Zuckenriet,DE,BB
St. Galler Blasmusikverband,,Bürgermusik Zuzwil,DE,F/B
St. Galler Blasmusikverband,,Musikverein Abtwil-St.Josefen,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Andwil-Arnegg,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Berg SG,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Bernhardzell,DE,BB
St. Galler Blasmusikverband,,Musikgesellschaft Engelburg,DE,H
St. Galler Blasmusikverband,,Stadtmusik Gossau,DE,H
St. Galler Blasmusikverband,,Musikgesellschaft Häggenschwil,DE,H
St. Galler Blasmusikverband,,Liberty Brass Band Ostschweiz Waldkirch,DE,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Liberty Brass Band Ostschweiz Waldkirch,DE,BB
